step,relative_error,mass_particles,mass_fluid
125,1.77729e-16,1.59198e+20,5.78286e+20
126,1.23867e-15,1.58891e+20,5.81827e+20
127,8.80917e-16,1.58574e+20,5.85378e+20
128,1.22795e-15,1.58245e+20,5.88941e+20
129,1.74665e-16,1.57906e+20,5.92514e+20
130,8.69577e-16,1.57557e+20,5.96097e+20
131,1.21221e-15,1.57199e+20,5.99689e+20
132,1.37948e-15,1.56832e+20,6.0329e+20
133,6.8682e-16,1.56456e+20,6.069e+20
134,1.02588e-15,1.56071e+20,6.10519e+20
135,5.10787e-16,1.55677e+20,6.14147e+20
136,1.3564e-15,1.55275e+20,6.17783e+20
137,5.06531e-16,1.54866e+20,6.21426e+20
138,1.177e-15,1.5445e+20,6.25076e+20
139,1.67449e-16,1.54027e+20,6.28733e+20
140,5.00279e-16,1.53599e+20,6.32395e+20
141,1.16253e-15,1.53165e+20,6.36063e+20
142,3.30797e-16,1.52726e+20,6.39736e+20
143,1.97671e-15,1.52282e+20,6.43414e+20
144,1.64059e-15,1.51833e+20,6.47097e+20
145,3.26796e-16,1.51379e+20,6.50785e+20
146,8.13709e-16,1.50921e+20,6.54477e+20
147,3.24182e-16,1.5046e+20,6.58172e+20
148,6.45781e-16,1.49996e+20,6.6187e+20
149,1.60805e-15,1.49528e+20,6.65572e+20
150,9.61016e-16,1.49057e+20,6.69277e+20
151,3.19078e-16,1.48583e+20,6.72985e+20
152,1.27131e-15,1.48107e+20,6.76695e+20
153,2.0578e-15,1.47629e+20,6.80407e+20
